 ,Label,IntDen,RawIntDen
1,0A01,897.9412,14247.0000
2,0A02,918.5516,13022.0000
3,0A03,726.4472,28415.0000
4,0A04,787.9599,25431.0000
5,0A05,909.9678,13115.0000
6,0A06,988.1440,9876.0000
7,0A07,991.3018,10429.0000
8,0A08,957.9959,12693.0000
9,0A09,911.5735,14257.0000
10,0A10,873.3488,16320.0000
11,0A11,854.4481,17897.0000
12,0A12,813.9653,18254.0000
13,0A13,738.3667,29492.0000
14,0A14,837.3586,23977.0000
15,0A15,870.0069,16193.0000
16,0A16,865.5115,17225.0000
17,0A17,927.4186,12481.0000
18,0A18,949.2299,11477.0000
19,0A19,1007.2259,9877.0000
20,0A20,1032.0545,8605.0000
21,0A21,777.0323,23785.0000
22,0A22,763.2247,26149.0000
23,0A23,773.8568,20309.0000
24,0A24,859.1524,17842.0000
25,0A25,886.0284,15545.0000
26,0A26,905.1423,14305.0000
27,0A27,896.8226,13682.0000
28,0A28,931.5614,12982.0000
29,0A29,744.6527,25639.0000
30,0A30,819.9750,22077.0000
31,0A31,716.2524,26676.0000
32,0A32,782.1561,23871.0000
33,0A33,415.9590,66033.0000
34,0A34,546.2563,52629.0000
35,0A35,877.9890,16269.0000
36,0A36,803.5454,18653.0000
37,0A37,897.9369,13485.0000
38,0A38,909.6476,13076.0000
39,0A39,355.2188,83775.0000
40,0A40,373.2639,83762.0000
41,0A41,546.8896,40085.0000
42,0A42,761.1912,20617.0000
43,0A43,830.6361,18541.0000
44,0A44,840.8539,18410.0000
45,0A45,656.1030,38469.0000
46,0A46,662.8660,40010.0000
47,0A47,759.6990,22885.0000
48,0A48,789.1605,21171.0000
49,0A49,677.9762,30529.0000
50,0A50,745.2548,26744.0000
51,0A51,630.1565,38265.0000
52,0A52,603.3038,41471.0000
53,0A53,904.4051,13689.0000
54,0A54,962.2614,11561.0000
55,0A55,513.8387,46979.0000
56,0A56,506.4915,48466.0000
57,0A57,423.3515,71673.0000
58,0A58,388.3381,78921.0000
59,0A59,735.6127,28320.0000
60,0A60,843.0089,18917.0000
61,0A61,491.0528,49152.0000
62,0A62,577.9730,43473.0000
63,0A63,782.2155,21465.0000
64,0A64,859.3905,16873.0000
65,0A65,567.8355,48651.0000
66,0A66,470.4545,57987.0000
67,0A67,708.2660,26971.0000
68,0A68,717.5117,25091.0000
69,0A69,502.3203,52790.0000
70,0A70,465.2311,58022.0000
71,0A71,150.0020,131736.0000
72,0A72,100.6433,147481.0000
73,0A73,322.9538,83274.0000
74,0A74,577.6989,37303.0000
75,0A75,735.3015,22884.0000
76,0A76,805.4187,19683.0000
77,0A77,809.5382,17595.0000
78,0A78,906.5591,14034.0000
79,0A79,753.1144,24745.0000
80,0A80,733.0874,25516.0000
81,0A81,650.2078,32153.0000
82,0A82,688.0625,30569.0000
83,0A83,777.4415,20176.0000
84,0A84,744.9964,20962.0000
85,0A85,654.3473,36426.0000
86,0A86,681.9480,34012.0000
87,0A87,853.1982,16179.0000
88,0A88,872.4818,15563.0000
89,0A89,1156.9300,5307.0000
90,0A90,1076.1439,8227.0000
91,0A91,380.2521,81962.0000
92,0A92,337.3852,86334.0000
93,0A93,696.6200,40635.0000
94,0A94,947.3789,16657.0000
95,0A95,1248.0627,3604.0000
96,0A96,1227.1936,3767.0000
97,0B01,870.8419,14595.0000
98,0B02,932.0360,10841.0000
99,0B03,865.7709,17952.0000
100,0B04,1029.2320,8458.0000
101,0B05,1005.5760,8413.0000
102,0B06,1061.1342,7114.0000
103,0B07,974.9425,10629.0000
104,0B08,1104.5983,6218.0000
105,0B09,845.1529,16845.0000
106,0B10,496.2480,71892.0000
107,0B11,934.4795,11899.0000
108,0B12,473.1502,76337.0000
109,0B13,910.5584,16032.0000
110,0B14,977.7373,9297.0000
111,0B15,967.2856,10953.0000
112,0B16,968.6807,10413.0000
113,0B17,1040.9629,8355.0000
114,0B18,990.2657,9386.0000
115,0B19,1117.7325,6420.0000
116,0B20,1017.5808,8469.0000
117,0B21,731.3069,22844.0000
118,0B22,603.5447,38566.0000
119,0B23,874.7653,14655.0000
120,0B24,719.2288,30482.0000
121,0B25,952.6483,11502.0000
122,0B26,1031.7612,8517.0000
123,0B27,1018.3839,9773.0000
124,0B28,1040.8196,8911.0000
125,0B29,790.3148,19968.0000
126,0B30,669.9606,42675.0000
127,0B31,771.7280,22417.0000
128,0B32,523.1853,53652.0000
129,0B33,575.5128,45314.0000
130,0B34,835.2290,16653.0000
131,0B35,1001.7475,10357.0000
